# Committing increasingly large files
# 
# vcs:         bup
# vcs_version: debian/0.25-1
# data_gen:    random
# 
# date:          2016-10-15T13:18:00.519953
# commandline:   ./increasing_file_size.py bup 0 39 --mag-step=2 --data-gen=random --tmp=/test
# testversion:   117369b Properly detect large files in Bup commits
# hostname:      murphytest01
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7525604 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                         Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest01--vg-test  197G   60M  197G   1% /test
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
mag     filebytes  filesize  cre_time   c1_time       c1_size   c1_cmd    c1_ver   c1_repo   c2_time       c2_size   c2_cmd    c2_ver   c2_repo   gc_time       gc_size   gc_cmd   gc_repo
 15  0x0000008000   32.0KiB     0.002     0.897  0x0000033000       ok  verified   assumed     0.999  0x000003d000       ok  verified   assumed     0.000  0x000003d000       ok   assumed
 15  0x000000c000   48.0KiB     0.003     0.915  0x000003b000       ok  verified   assumed     0.994  0x000003f000       ok  verified   assumed     0.000  0x000003f000       ok   assumed
 16  0x0000010000   64.0KiB     0.004     0.918  0x0000043000       ok  verified   assumed     0.996  0x0000046000       ok  verified   assumed     0.000  0x0000046000       ok   assumed
 16  0x0000018000   96.0KiB     0.008     0.915  0x0000053000       ok  verified   assumed     0.981  0x0000058000       ok  verified   assumed     0.000  0x0000058000       ok   assumed
 17  0x0000020000  128.0KiB     0.009     0.907  0x0000063000       ok  verified   assumed     0.986  0x0000066000       ok  verified   assumed     0.000  0x0000066000       ok   assumed
 17  0x0000030000  192.0KiB     0.016     0.883  0x0000083000       ok  verified   assumed     0.993  0x000008b000       ok  verified   assumed     0.000  0x000008b000       ok   assumed
 18  0x0000040000  256.0KiB     0.019     0.905  0x00000a3000       ok  verified   assumed     0.973  0x00000a6000       ok  verified   assumed     0.000  0x00000a6000       ok   assumed
 18  0x0000060000  384.0KiB     0.026     0.915  0x00000e3000       ok  verified   assumed     0.985  0x00000e8000       ok  verified   assumed     0.000  0x00000e8000       ok   assumed
 19  0x0000080000  512.0KiB     0.036     0.878  0x0000123000       ok  verified   assumed     0.989  0x000012a000       ok  verified   assumed     0.000  0x000012a000       ok   assumed
 19  0x00000c0000  768.0KiB     0.052     0.878  0x00001a5000       ok  verified   assumed     0.972  0x00001ab000       ok  verified   assumed     0.000  0x00001ab000       ok   assumed
 20  0x0000100000    1.0MiB     0.072     0.875  0x0000225000       ok  verified   assumed     0.943  0x000022a000       ok  verified   assumed     0.000  0x000022a000       ok   assumed
 20  0x0000180000    1.5MiB     0.103     0.875  0x0000326000       ok  verified   assumed     0.962  0x0000330000       ok  verified   assumed     0.000  0x0000330000       ok   assumed
 21  0x0000200000    2.0MiB     0.138     0.830  0x0000427000       ok  verified   assumed     0.940  0x000042d000       ok  verified   assumed     0.000  0x000042d000       ok   assumed
 21  0x0000300000    3.0MiB     0.207     0.806  0x0000629000       ok  verified   assumed     0.895  0x0000630000       ok  verified   assumed     0.000  0x0000630000       ok   assumed
 22  0x0000400000    4.0MiB     0.275     0.760  0x000082c000       ok  verified   assumed     0.885  0x0000830000       ok  verified   assumed     0.000  0x0000830000       ok   assumed
 22  0x0000600000    6.0MiB     0.411     0.681  0x0000c30000       ok  verified   assumed     0.850  0x0000c3e000       ok  verified   assumed     0.000  0x0000c3e000       ok   assumed
 23  0x0000800000    8.0MiB     0.546     1.574  0x0001036000       ok  verified   assumed     0.794  0x0001043000       ok  verified   assumed     0.000  0x0001043000       ok   assumed
 23  0x0000c00000   12.0MiB     0.823     1.421  0x0001840000       ok  verified   assumed     0.672  0x000184e000       ok  verified   assumed     0.000  0x000184e000       ok   assumed
 24  0x0001000000   16.0MiB     1.093     1.261  0x000204d000       ok  verified   assumed     1.583  0x0002055000       ok  verified   assumed     0.000  0x0002055000       ok   assumed
 24  0x0001800000   24.0MiB     1.639     1.956  0x000305f000       ok  verified   assumed     1.407  0x000306b000       ok  verified   assumed     0.000  0x000306b000       ok   assumed
 25  0x0002000000   32.0MiB     2.187     2.520  0x0004074000       ok  verified   assumed     1.188  0x0004083000       ok  verified   assumed     0.000  0x0004083000       ok   assumed
 25  0x0003000000   48.0MiB     3.282     2.958  0x000609c000       ok  verified   assumed     1.700  0x00060ab000       ok  verified   assumed     0.000  0x00060ab000       ok   assumed
 26  0x0004000000   64.0MiB     4.371     3.247  0x00080c6000       ok  verified   assumed     2.308  0x00080db000       ok  verified   assumed     0.000  0x00080db000       ok   assumed
 26  0x0006000000   96.0MiB     6.556     5.055  0x000c10b000       ok  verified   assumed     2.493  0x000c129000       ok  verified   assumed     0.000  0x000c129000       ok   assumed
