# Committing increasingly large files
# 
# vcs:         git
# vcs_version: git version 2.1.4
# data_gen:    random
# 
# date:          2016-10-16T22:29:41.025930
# commandline:   ./increasing_file_size.py git 0 39 --mag-step=2 --data-gen=random --tmp=/test
# testversion:   d032b44 Fix default result status strings
# hostname:      murphytest04
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7838192 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                         Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest04--vg-test  197G   60M  197G   1% /test
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
mag     filebytes  filesize  cre_time   c1_time       c1_size   c1_cmd    c1_ver   c1_repo     c1_user     c1_nice   c1_system     c1_idle   c1_iowait   c2_time       c2_size   c2_cmd    c2_ver   c2_repo     c2_user     c2_nice   c2_system     c2_idle   c2_iowait   gc_time       gc_size   gc_cmd   gc_repo     gc_user     gc_nice   gc_system     gc_idle   gc_iowait
 10  0x0000000600    1.5KiB     0.000     0.007  0x0000028000       ok  verified   assumed           1           0           2           1           0     0.005  0x000002e000       ok  verified   assumed           0           0           1           1           0     0.083  0x0000026000       ok   assumed           1           0           1           8           7
 11  0x0000000800    2.0KiB     0.000     0.005  0x0000028000       ok  verified   assumed           0           0           0           0           0     0.005  0x000002e000       ok  verified   assumed           0           0           0           1           0     0.096  0x0000026000       ok   assumed           1           0           2           9           8
 11  0x0000000c00    3.0KiB     0.000     0.005  0x0000028000       ok  verified   assumed           0           0           1           1           0     0.005  0x000002e000       ok  verified   assumed           1           0           0           0           0     0.112  0x0000026000       ok   assumed           0           0           1          10          10
 12  0x0000001000    4.0KiB     0.000     0.005  0x0000029000       ok  verified   assumed           0           0           1           0           0     0.005  0x0000030000       ok  verified   assumed           0           0           0           1           0     0.119  0x0000027000       ok   assumed           1           0           1          12          11
 12  0x0000001800    6.0KiB     0.001     0.006  0x000002a000       ok  verified   assumed           1           0           0           0           0     0.005  0x0000031000       ok  verified   assumed           0           0           1           1           0     0.097  0x0000028000       ok   assumed           1           0           1           9           8
 13  0x0000002000    8.0KiB     0.001     0.005  0x000002b000       ok  verified   assumed           0           0           0           0           0     0.005  0x0000033000       ok  verified   assumed           0           0           0           1           0     0.086  0x0000029000       ok   assumed           0           0           1           9           8
 13  0x0000003000   12.0KiB     0.001     0.008  0x000002d000       ok  verified   assumed           1           0           1           1           0     0.006  0x0000036000       ok  verified   assumed           0           0           1           1           0     0.092  0x000002b000       ok   assumed           0           0           1           9           8
 14  0x0000004000   16.0KiB     0.002     0.005  0x000002f000       ok  verified   assumed           0           0           1           1           0     0.006  0x0000039000       ok  verified   assumed           0           0           0           0           0     0.098  0x000002d000       ok   assumed           0           0           1          10           8
 14  0x0000006000   24.0KiB     0.002     0.007  0x0000033000       ok  verified   assumed           1           0           1           1           0     0.007  0x000003f000       ok  verified   assumed           0           0           1           0           0     0.095  0x0000031000       ok   assumed           1           0           0           9           9
 15  0x0000008000   32.0KiB     0.002     0.006  0x0000037000       ok  verified   assumed           0           0           1           0           0     0.007  0x0000045000       ok  verified   assumed           0           0           1           0           0     0.744  0x0000035000       ok   assumed           2           0           0          73          74
 15  0x000000c000   48.0KiB     0.003     0.008  0x000003f000       ok  verified   assumed           1           0           0           0           0     0.008  0x0000051000       ok  verified   assumed           0           0           1           1           0     0.209  0x000003d000       ok   assumed           2           0           1          22          19
 16  0x0000010000   64.0KiB     0.004     0.008  0x0000047000       ok  verified   assumed           1           0           0           1           0     0.008  0x000005d000       ok  verified   assumed           1           0           1           1           0     0.093  0x0000045000       ok   assumed           1           0           2          10           8
 16  0x0000018000   96.0KiB     0.010     0.009  0x0000057000       ok  verified   assumed           0           0           0           1           0     0.010  0x0000075000       ok  verified   assumed           1           0           0           1           0     0.090  0x0000055000       ok   assumed           1           0           1           9           6
 17  0x0000020000  128.0KiB     0.011     0.010  0x0000067000       ok  verified   assumed           1           0           1           1           0     0.012  0x000008d000       ok  verified   assumed           1           0           0           1           0     0.091  0x0000065000       ok   assumed           1           0           2           9           8
 17  0x0000030000  192.0KiB     0.013     0.016  0x0000087000       ok  verified   assumed           1           0           0           2           0     0.020  0x00000bd000       ok  verified   assumed           2           0           0           2           0     0.111  0x0000085000       ok   assumed           1           0           1          10           8
 18  0x0000040000  256.0KiB     0.023     0.016  0x00000a7000       ok  verified   assumed           2           0           0           2           0     0.026  0x00000ed000       ok  verified   assumed           3           0           0           2           0     0.106  0x00000a5000       ok   assumed           3           0           1          11           8
 18  0x0000060000  384.0KiB     0.026     0.025  0x00000e7000       ok  verified   assumed           2           0           2           2           0     0.028  0x000014d000       ok  verified   assumed           2           0           2           3           0     0.114  0x00000e5000       ok   assumed           2           0           2          11           8
