# Committing increasingly large files
# 
# vcs:         bup
# vcs_version: debian/0.25-1
# data_gen:    random
# 
# date:          2016-10-19T13:54:21.820748
# commandline:   ./increasing_file_size.py bup 0 38 --mag-step=2 --data-gen=random --tmp=/test
# testversion:   f01eee6 Fix magnitude/steps for base-10
# hostname:      murphytest01
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7939500 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                         Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest01--vg-test  197G   60M  197G   1% /test
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
mag     filebytes  filesize  cre_time   c1_time       c1_size   c1_cmd    c1_ver   c1_repo     c1_user     c1_nice   c1_system     c1_idle   c1_iowait   c2_time       c2_size   c2_cmd    c2_ver   c2_repo     c2_user     c2_nice   c2_system     c2_idle   c2_iowait   gc_time       gc_size   gc_cmd   gc_repo     gc_user     gc_nice   gc_system     gc_idle   gc_iowait
 10  0x0000000600    1.5KiB     0.000     0.924  0x0000024000       ok  verified   assumed          20           0           7         154           4     0.972  0x0000026000       ok  verified   assumed          20           0           7         167           0     0.000  0x0000026000       ok   assumed           0           0           1           0           0
 11  0x0000000800    2.0KiB     0.000     0.902  0x0000024000       ok  verified   assumed          22           0           5         150           5     0.977  0x0000026000       ok  verified   assumed          21           0           5         167           3     0.000  0x0000026000       ok   assumed           0           0           0           0           0
 11  0x0000000c00    3.0KiB     0.000     0.932  0x0000024000       ok  verified   assumed          18           0           8         155           5     0.967  0x0000026000       ok  verified   assumed          21           0           5         167           0     0.000  0x0000026000       ok   assumed           0           0           1           0           0
 12  0x0000001000    4.0KiB     0.000     0.923  0x0000025000       ok  verified   assumed          19           0           6         154           4     0.977  0x0000027000       ok  verified   assumed          18           0           9         169           0     0.000  0x0000027000       ok   assumed           0           0           0           0           0
 12  0x0000001800    6.0KiB     0.001     0.915  0x0000026000       ok  verified   assumed          19           0           8         152           5     0.988  0x0000029000       ok  verified   assumed          20           0           9         166           2     0.000  0x0000029000       ok   assumed           0           0           0           0           0
 13  0x0000002000    8.0KiB     0.001     0.919  0x0000027000       ok  verified   assumed          21           0           7         151           6     0.983  0x000002b000       ok  verified   assumed          19           0           9         168           0     0.000  0x000002b000       ok   assumed           0           0           0           0           0
 13  0x0000003000   12.0KiB     0.001     0.901  0x0000029000       ok  verified   assumed          19           0           7         148           5     0.969  0x000002e000       ok  verified   assumed          19           0           9         167           1     0.000  0x000002e000       ok   assumed           0           0           0           0           0
 14  0x0000004000   16.0KiB     0.001     0.918  0x000002b000       ok  verified   assumed          21           0           6         152           4     0.985  0x000002e000       ok  verified   assumed          21           0           7         166           3     0.000  0x000002e000       ok   assumed           0           0           0           0           0
 14  0x0000006000   24.0KiB     0.002     1.014  0x000002f000       ok  verified   assumed          19           0           7         161          16     0.882  0x0000035000       ok  verified   assumed          20           0           6         150           0     0.000  0x0000035000       ok   assumed           0           0           0           1           0
 15  0x0000008000   32.0KiB     0.002     0.898  0x0000033000       ok  verified   assumed          19           0           7         150           3     1.004  0x0000037000       ok  verified   assumed          19           0           7         174           0     0.000  0x0000037000       ok   assumed           0           0           0           0           0
