# Committing increasingly large files
# 
# vcs:         bup
# vcs_version: debian/0.25-1
# data_gen:    random
# 
# date:          2016-10-20T17:58:18.597778
# commandline:   ./increasing_file_size.py bup 0 38 --mag-step=2 --data-gen=random --tmp=/test
# testversion:   f01eee6 Fix magnitude/steps for base-10
# hostname:      murphytest04
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7818984 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                         Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest04--vg-test  197G   60M  197G   1% /test
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
mag     filebytes  filesize  cre_time   c1_time       c1_size   c1_cmd    c1_ver   c1_repo     c1_user     c1_nice   c1_system     c1_idle   c1_iowait   c2_time       c2_size   c2_cmd    c2_ver   c2_repo     c2_user     c2_nice   c2_system     c2_idle   c2_iowait   gc_time       gc_size   gc_cmd   gc_repo     gc_user     gc_nice   gc_system     gc_idle   gc_iowait
 10  0x0000000600    1.5KiB     0.000     0.898  0x0000024000       ok  verified   assumed          21           0           7         147           4     0.977  0x0000026000       ok  verified   assumed          18           0           8         166           2     0.000  0x0000026000       ok   assumed           0           0           1           0           0
 11  0x0000000800    2.0KiB     0.000     0.895  0x0000024000       ok  verified   assumed          19           0          10         149           3     0.992  0x0000026000       ok  verified   assumed          23           0           6         170           0     0.000  0x0000026000       ok   assumed           0           0           0           0           0
 11  0x0000000c00    3.0KiB     0.000     0.900  0x0000024000       ok  verified   assumed          19           0           8         151           3     0.990  0x0000026000       ok  verified   assumed          22           0           6         166           3     0.000  0x0000026000       ok   assumed           0           0           0           0           0
 12  0x0000001000    4.0KiB     0.000     0.938  0x0000025000       ok  verified   assumed          19           0          10         150           9     0.974  0x0000027000       ok  verified   assumed          22           0           5         165           2     0.000  0x0000027000       ok   assumed           0           0           0           1           0
 12  0x0000001800    6.0KiB     0.001     1.122  0x0000026000       ok  verified   assumed          18           0           9         170          28     0.755  0x0000029000       ok  verified   assumed          19           0           9         123           0     0.000  0x0000029000       ok   assumed           0           0           0           0           0
 13  0x0000002000    8.0KiB     0.001     0.877  0x0000027000       ok  verified   assumed          17           0           8         146           3     0.992  0x000002b000       ok  verified   assumed          20           0           6         170           0     0.000  0x000002b000       ok   assumed           0           0           0           1           0
 13  0x0000003000   12.0KiB     0.001     0.928  0x0000029000       ok  verified   assumed          21           0           7         151           6     0.965  0x000002d000       ok  verified   assumed          21           0           8         163           3     0.000  0x000002d000       ok   assumed           0           0           1           0           0
 14  0x0000004000   16.0KiB     0.001     0.907  0x000002b000       ok  verified   assumed          22           0           5         145           9     0.988  0x000002f000       ok  verified   assumed          19           0           8         168           0     0.000  0x000002f000       ok   assumed           1           0           0           1           0
 14  0x0000006000   24.0KiB     0.002     0.908  0x000002f000       ok  verified   assumed          21           0           7         151           3     0.983  0x0000032000       ok  verified   assumed          19           0           7         170           0     0.000  0x0000032000       ok   assumed           0           0           0           0           0
 15  0x0000008000   32.0KiB     0.002     0.915  0x0000033000       ok  verified   assumed          23           0           6         150           4     0.956  0x0000035000       ok  verified   assumed          19           0           8         162           2     0.000  0x0000035000       ok   assumed           0           0           1           0           0
 15  0x000000c000   48.0KiB     0.003     0.907  0x000003b000       ok  verified   assumed          21           0           6         150           5     0.983  0x000003f000       ok  verified   assumed          17           0          11         169           0     0.000  0x000003f000       ok   assumed           0           0           0           0           0
 16  0x0000010000   64.0KiB     0.004     0.908  0x0000043000       ok  verified   assumed          19           0           7         152           3     0.987  0x0000047000       ok  verified   assumed          21           0           7         170           0     0.000  0x0000047000       ok   assumed           0           0           0           0           0
 16  0x0000018000   96.0KiB     0.007     0.919  0x0000053000       ok  verified   assumed          22           0           7         149           5     0.971  0x000005d000       ok  verified   assumed          21           0           8         163           3     0.000  0x000005d000       ok   assumed           0           0           0           0           0
 17  0x0000020000  128.0KiB     0.009     0.891  0x0000063000       ok  verified   assumed          22           0           6         147           4     0.992  0x000006a000       ok  verified   assumed          18           0          10         170           0     0.000  0x000006a000       ok   assumed           0           0           0           0           0
 17  0x0000030000  192.0KiB     0.015     0.903  0x0000083000       ok  verified   assumed          20           0           8         149           4     0.983  0x0000089000       ok  verified   assumed          16           0          10         167           2     0.000  0x0000089000       ok   assumed           0           0           1           1           0
 18  0x0000040000  256.0KiB     0.020     0.889  0x00000a3000       ok  verified   assumed          21           0           6         146           4     0.984  0x00000a7000       ok  verified   assumed          21           0           8         168           2     0.000  0x00000a7000       ok   assumed           0           0           0           1           0
 18  0x0000060000  384.0KiB     0.027     0.889  0x00000e3000       ok  verified   assumed          22           0           6         145           5     0.967  0x00000e8000       ok  verified   assumed          20           0           8         165           0     0.000  0x00000e8000       ok   assumed           0           0           0           0           0
 19  0x0000080000  512.0KiB     0.036     0.905  0x0000123000       ok  verified   assumed          23           0           6         149           4     0.973  0x0000126000       ok  verified   assumed          22           0           6         165           0     0.000  0x0000126000       ok   assumed           0           0           0           0           0
 19  0x00000c0000  768.0KiB     0.053     0.864  0x00001a5000       ok  verified   assumed          22           0           9         137           5     0.964  0x00001a8000       ok  verified   assumed          22           0           7         163           1     0.000  0x00001a8000       ok   assumed           0           0           0           0           0
 20  0x0000100000    1.0MiB     0.069     0.858  0x0000225000       ok  verified   assumed          23           0           8         136           5     0.960  0x000022a000       ok  verified   assumed          21           0           7         164           0     0.000  0x000022a000       ok   assumed           0           0           0           0           0
 20  0x0000180000    1.5MiB     0.103     0.837  0x0000326000       ok  verified   assumed          26           0           6         130           4     0.945  0x000032b000       ok  verified   assumed          23           0           7         158           0     0.000  0x000032b000       ok   assumed           0           0           0           0           0
 21  0x0000200000    2.0MiB     0.137     0.819  0x0000428000       ok  verified   assumed          28           0           9         124           4     1.229  0x000042c000       ok  verified   assumed          25           0           7         200          15     0.000  0x000042c000       ok   assumed           0           0           0           1           0
 21  0x0000300000    3.0MiB     0.208     0.475  0x000062a000       ok  verified   assumed          32           0           9          53           3     0.910  0x000062e000       ok  verified   assumed          25           0           8         150           0     0.000  0x000062e000       ok   assumed           0           0           0           0           0
 22  0x0000400000    4.0MiB     0.276     0.746  0x000082b000       ok  verified   assumed          34           0          11         102           3     0.873  0x0000833000       ok  verified   assumed          26           0           6         141           1     0.000  0x0000833000       ok   assumed           0           0           0           0           0
