# Committing increasingly large numbers of files
# 
# reformat_partition: /dev/murphytest01-vg/test
# data_gen:           random
# vcs:                prototype
# each_file_size:     0x400 bytes (1.0KiB)
# timeout:            19800.0
# vcs_version:        prototype: git version c9baf3a Debug: Fix bad read
# 
# date:          2017-04-11T21:58:12.255851
# commandline:   ./increasing_number_of_files.py prototype 0 8 --mag-step=4 --data-gen=random --timeout=19800 --tmp=/test --reformat-partition /dev/murphytest01-vg/test
# testversion:   7146442 Leave timeout info as comment in output
# hostname:      murphytest01
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       637008 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                         Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest01--vg-test  197G   51G  147G  26% /test
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
mag     filecount    totalbytes   cre_time    c1_time       c1_size   c1_cmd    c1_ver   c1_repo     c1_user     c1_nice   c1_system     c1_idle   c1_iowait  stat1_time  stat1_cmd  stat2_time  stat2_cmd    c2_time       c2_size   c2_cmd    c2_ver   c2_repo     c2_user     c2_nice   c2_system     c2_idle   c2_iowait  cleanup_time
  5        500000  0x001e848000     62.552    136.414  0x00fbe5c000       ok  verified   assumed        3167           0        6018       10497        7445      16.527         ok      13.022         ok    144.300  0x0104609000       ok  verified   assumed        2475           0        3654        5625       17053       189.154
  5        750000  0x002dc6c000     97.187    316.969  0x0179e31000       ok  verified   assumed        5446           0        9972       22589       24728      50.275         ok      19.833         ok    305.603  0x0186add000       ok  verified   assumed        3781           0        5429       15823       35979       154.610
  6       1000000  0x003d090000    129.794    840.242  0x01f79aa000       ok  verified   assumed        8553           0       14664       52023       90946      94.284         ok     134.386         ok    348.973  0x0208989000       ok  verified   assumed        5068           0        7581       19315       37608         9.499
  6       2500000  0x0098968000    329.656   4881.862  0x04ec39b000       ok  verified   assumed       25145           0       43478      277945      622290     640.684         ok     637.225         ok   1422.419  0x0516f91000       ok  verified   assumed       15755           0       41239      103018      116065        15.482
  6       5000000  0x01312d0000    642.434  18171.328  0x09d875f000       ok  verified   assumed       52765           0       91747     1211952     2261012    2039.081         ok    1993.941         ok   3690.629  0x0a2df3e000       ok  verified   assumed       31671           0       81216      268515      338595        15.663
# Timeout: 19800s, sending SIGTERM: prototype commit -m 'Add many_files_dir'
# Timeout: 19800s, sending SIGTERM: prototype fsck
# Could not verify repo: CallTimeoutError(cmd='prototype fsck', elapsed=19800.079, killsignal='SIGTERM', returncode=-15)
# CallTimeoutError(cmd='prototype commit -m 'Add many_files_dir'', elapsed=19800.048, killsignal='SIGTERM', returncode=-15)
  6       7500000  0x01c9c38000    973.122  19801.952        (None)   failed       bad   ver_err       52925           0       72780     1369997     2446091      (None)    no_exec      (None)    no_exec     (None)        (None)  no_exec    no_ver    no_ver      (None)      (None)      (None)      (None)      (None)        12.869
# Timeout: 19800s, sending SIGTERM: prototype fsck
# Could not verify repo: CallTimeoutError(cmd='prototype fsck', elapsed=19800.026, killsignal='SIGTERM', returncode=-15)
# CallFailedError(cmd='prototype commit -m 'Add many_files_dir'', returncode='1')
  7      10000000  0x02625a0000   1280.538   7749.655        (None)   failed       bad   ver_err       34538           0       46375      477870      980809      (None)    no_exec      (None)    no_exec     (None)        (None)  no_exec    no_ver    no_ver      (None)      (None)      (None)      (None)      (None)        11.266
# IOError(28, 'No space left on device')
  7      25000000  0x05f5e10000   1909.421     (None)        (None)  no_exec    no_ver    no_ver      (None)      (None)      (None)      (None)      (None)      (None)    no_exec      (None)    no_exec     (None)        (None)  no_exec    no_ver    no_ver      (None)      (None)      (None)      (None)      (None)        12.947
# IOError(28, 'No space left on device')
  7      50000000  0x0bebc20000   1863.779     (None)        (None)  no_exec    no_ver    no_ver      (None)      (None)      (None)      (None)      (None)      (None)    no_exec      (None)    no_exec     (None)        (None)  no_exec    no_ver    no_ver      (None)      (None)      (None)      (None)      (None)        12.458
# IOError(28, 'No space left on device')
  7      75000000  0x11e1a30000   1875.801     (None)        (None)  no_exec    no_ver    no_ver      (None)      (None)      (None)      (None)      (None)      (None)    no_exec      (None)    no_exec     (None)        (None)  no_exec    no_ver    no_ver      (None)      (None)      (None)      (None)      (None)        10.568
