# Simulating growing object file directories
# 
# dir_split:          2
# example_file:       3d/6927a52dd8a08b77bcc637286b73b78e6ae88a
# reformat_partition: /dev/murphytest04-vg/smalltest
# data_gen:           random
# dir_depth:          1
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-21T22:45:24.120816
# commandline:   ./filesystem_limit.py --each-file-size=4096 --dir-split=2 --dir-depth=1 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest04-vg/smalltest
# testversion:   f7aa795 FS test: Collect inode data instead of `du`
# hostname:      murphytest04
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7522576 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest04--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
  each_bytes  dir_split  dir_depth         f_num       d_f_num  d_ct_time  write_ok  write_time      df_total       df_used      df_avail  inode_total  inode_used  inode_avail
0x0000001000          2          1            40             3      0.000        ok       0.000  0x0005cd3800  0x00001be400  0x0005915400        25688          86        25602
0x0000001000          2          1            41             1      0.000        ok       0.000  0x0005cd3800  0x00001bfc00  0x0005913c00        25688          88        25600
0x0000001000          2          1            42             3      0.000        ok       0.000  0x0005cd3800  0x00001c1000  0x0005912800        25688          89        25599
0x0000001000          2          1            43             1      0.000        ok       0.000  0x0005cd3800  0x00001c2800  0x0005911000        25688          91        25597
0x0000001000          2          1            44             1      0.000        ok       0.000  0x0005cd3800  0x00001c4000  0x000590f800        25688          93        25595
0x0000001000          2          1            45             1      0.000        ok       0.000  0x0005cd3800  0x00001c5800  0x000590e000        25688          95        25593
0x0000001000          2          1            46             1      0.000        ok       0.000  0x0005cd3800  0x00001c7000  0x000590c800        25688          97        25591
0x0000001000          2          1            47             1      0.000        ok       0.000  0x0005cd3800  0x00001c8800  0x000590b000        25688          99        25589
0x0000001000          2          1            48             1      0.000        ok       0.000  0x0005cd3800  0x00001ca000  0x0005909800        25688         101        25587
0x0000001000          2          1            49             1      0.000        ok       0.000  0x0005cd3800  0x00001cb800  0x0005908000        25688         103        25585
0x0000001000          2          1            50             1      0.000        ok       0.000  0x0005cd3800  0x00001cd000  0x0005906800        25688         105        25583
0x0000001000          2          1            51             1      0.000        ok       0.000  0x0005cd3800  0x00001ce800  0x0005905000        25688         107        25581
0x0000001000          2          1            52             1      0.000        ok       0.000  0x0005cd3800  0x00001d0000  0x0005903800        25688         109        25579
0x0000001000          2          1            53             1      0.000        ok       0.000  0x0005cd3800  0x00001d1800  0x0005902000        25688         111        25577
0x0000001000          2          1            54             1      0.000        ok       0.000  0x0005cd3800  0x00001d3000  0x0005900800        25688         113        25575
0x0000001000          2          1            55             2      0.000        ok       0.000  0x0005cd3800  0x00001d4400  0x00058ff400        25688         114        25574
0x0000001000          2          1            56             1      0.000        ok       0.000  0x0005cd3800  0x00001d5c00  0x00058fdc00        25688         116        25572
0x0000001000          2          1            57             2      0.000        ok       0.000  0x0005cd3800  0x00001d7000  0x00058fc800        25688         117        25571
0x0000001000          2          1            58             1      0.000        ok       0.000  0x0005cd3800  0x00001d8800  0x00058fb000        25688         119        25569
0x0000001000          2          1            59             1      0.000        ok       0.000  0x0005cd3800  0x00001da000  0x00058f9800        25688         121        25567
0x0000001000          2          1            60             1      0.000        ok       0.000  0x0005cd3800  0x00001db800  0x00058f8000        25688         123        25565
0x0000001000          2          1            61             1      0.000        ok       0.000  0x0005cd3800  0x00001dd000  0x00058f6800        25688         125        25563
0x0000001000          2          1            62             2      0.000        ok       0.000  0x0005cd3800  0x00001de400  0x00058f5400        25688         126        25562
0x0000001000          2          1            63             1      0.000        ok       0.000  0x0005cd3800  0x00001dfc00  0x00058f3c00        25688         128        25560
0x0000001000          2          1            64             2      0.000        ok       0.000  0x0005cd3800  0x00001e1000  0x00058f2800        25688         129        25559
0x0000001000          2          1            65             1      0.000        ok       0.000  0x0005cd3800  0x00001e2800  0x00058f1000        25688         131        25557
0x0000001000          2          1            66             1      0.000        ok       0.000  0x0005cd3800  0x00001e4000  0x00058ef800        25688         133        25555
0x0000001000          2          1            67             1      0.000        ok       0.000  0x0005cd3800  0x00001e5800  0x00058ee000        25688         135        25553
0x0000001000          2          1            68             1      0.000        ok       0.000  0x0005cd3800  0x00001e7000  0x00058ec800        25688         137        25551
0x0000001000          2          1            69             1      0.000        ok       0.000  0x0005cd3800  0x00001e8800  0x00058eb000        25688         139        25549
0x0000001000          2          1            70             2      0.000        ok       0.000  0x0005cd3800  0x00001e9c00  0x00058e9c00        25688         140        25548
0x0000001000          2          1            71             1      0.000        ok       0.000  0x0005cd3800  0x00001eb400  0x00058e8400        25688         142        25546
0x0000001000          2          1            72             1      0.000        ok       0.000  0x0005cd3800  0x00001ecc00  0x00058e6c00        25688         144        25544
0x0000001000          2          1            73             1      0.000        ok       0.000  0x0005cd3800  0x00001ee400  0x00058e5400        25688         146        25542
0x0000001000          2          1            74             1      0.000        ok       0.000  0x0005cd3800  0x00001efc00  0x00058e3c00        25688         148        25540
0x0000001000          2          1            75             1      0.000        ok       0.000  0x0005cd3800  0x00001f1400  0x00058e2400        25688         150        25538
0x0000001000          2          1            76             2      0.000        ok       0.000  0x0005cd3800  0x00001f2800  0x00058e1000        25688         151        25537
0x0000001000          2          1            77             1      0.000        ok       0.000  0x0005cd3800  0x00001f4000  0x00058df800        25688         153        25535
0x0000001000          2          1            78             1      0.000        ok       0.000  0x0005cd3800  0x00001f5800  0x00058de000        25688         155        25533
0x0000001000          2          1            79             2      0.000        ok       0.000  0x0005cd3800  0x00001f6c00  0x00058dcc00        25688         156        25532
0x0000001000          2          1            80             1      0.000        ok       0.000  0x0005cd3800  0x00001f8400  0x00058db400        25688         158        25530
0x0000001000          2          1            81             3      0.000        ok       0.000  0x0005cd3800  0x00001f9800  0x00058da000        25688         159        25529
0x0000001000          2          1            82             2      0.000        ok       0.000  0x0005cd3800  0x00001fac00  0x00058d8c00        25688         160        25528
0x0000001000          2          1            83             1      0.000        ok       0.000  0x0005cd3800  0x00001fc400  0x00058d7400        25688         162        25526
0x0000001000          2          1            84             2      0.000        ok       0.000  0x0005cd3800  0x00001fd800  0x00058d6000        25688         163        25525
0x0000001000          2          1            85             1      0.000        ok       0.000  0x0005cd3800  0x00001ff000  0x00058d4800        25688         165        25523
0x0000001000          2          1            86             1      0.000        ok       0.000  0x0005cd3800  0x0000200800  0x00058d3000        25688         167        25521
0x0000001000          2          1            87             1      0.000        ok       0.000  0x0005cd3800  0x0000202000  0x00058d1800        25688         169        25519
0x0000001000          2          1            88             2      0.000        ok       0.000  0x0005cd3800  0x0000203400  0x00058d0400        25688         170        25518
0x0000001000          2          1            89             1      0.000        ok       0.000  0x0005cd3800  0x0000204c00  0x00058cec00        25688         172        25516
0x0000001000          2          1            90             1      0.000        ok       0.000  0x0005cd3800  0x0000206400  0x00058cd400        25688         174        25514
0x0000001000          2          1            91             3      0.000        ok       0.000  0x0005cd3800  0x0000207800  0x00058cc000        25688         175        25513
0x0000001000          2          1            92             1      0.000        ok       0.000  0x0005cd3800  0x0000209000  0x00058ca800        25688         177        25511
0x0000001000          2          1            93             1      0.000        ok       0.000  0x0005cd3800  0x000020a800  0x00058c9000        25688         179        25509
0x0000001000          2          1            94             1      0.000        ok       0.000  0x0005cd3800  0x000020c000  0x00058c7800        25688         181        25507
0x0000001000          2          1            95             1      0.000        ok       0.000  0x0005cd3800  0x000020d800  0x00058c6000        25688         183        25505
0x0000001000          2          1            96             2      0.000        ok       0.000  0x0005cd3800  0x000020ec00  0x00058c4c00        25688         184        25504
0x0000001000          2          1            97             2      0.000        ok       0.000  0x0005cd3800  0x0000210000  0x00058c3800        25688         185        25503
0x0000001000          2          1            98             1      0.000        ok       0.000  0x0005cd3800  0x0000211800  0x00058c2000        25688         187        25501
0x0000001000          2          1            99             1      0.000        ok       0.000  0x0005cd3800  0x0000213000  0x00058c0800        25688         189        25499
0x0000001000          2          1           100             1      0.000        ok       0.000  0x0005cd3800  0x0000214800  0x00058bf000        25688         191        25497
0x0000001000          2          1           101             2      0.000        ok       0.000  0x0005cd3800  0x0000215c00  0x00058bdc00        25688         192        25496
0x0000001000          2          1           102             1      0.000        ok       0.000  0x0005cd3800  0x0000217400  0x00058bc400        25688         194        25494
0x0000001000          2          1           103             1      0.000        ok       0.000  0x0005cd3800  0x0000218c00  0x00058bac00        25688         196        25492
0x0000001000          2          1           104             1      0.000        ok       0.000  0x0005cd3800  0x000021a400  0x00058b9400        25688         198        25490
0x0000001000          2          1           105             1      0.000        ok       0.000  0x0005cd3800  0x000021bc00  0x00058b7c00        25688         200        25488
0x0000001000          2          1           106             1      0.000        ok       0.000  0x0005cd3800  0x000021d400  0x00058b6400        25688         202        25486
0x0000001000          2          1           107             1      0.000        ok       0.000  0x0005cd3800  0x000021f400  0x00058b4400        25688         204        25484
0x0000001000          2          1           108             1      0.000        ok       0.000  0x0005cd3800  0x0000220c00  0x00058b2c00        25688         206        25482
0x0000001000          2          1           109             1      0.000        ok       0.000  0x0005cd3800  0x0000222400  0x00058b1400        25688         208        25480
0x0000001000          2          1           110             2      0.000        ok       0.000  0x0005cd3800  0x0000223800  0x00058b0000        25688         209        25479
0x0000001000          2          1           111             1      0.000        ok       0.000  0x0005cd3800  0x0000225000  0x00058ae800        25688         211        25477
0x0000001000          2          1           112             1      0.000        ok       0.000  0x0005cd3800  0x0000226800  0x00058ad000        25688         213        25475
0x0000001000          2          1           113             1      0.000        ok       0.000  0x0005cd3800  0x0000228000  0x00058ab800        25688         215        25473
0x0000001000          2          1           114             2      0.000        ok       0.000  0x0005cd3800  0x0000229400  0x00058aa400        25688         216        25472
0x0000001000          2          1           115             1      0.000        ok       0.000  0x0005cd3800  0x000022ac00  0x00058a8c00        25688         218        25470
