# Simulating growing object file directories
# 
# dir_split:          2
# example_file:       f9/b1/0e99c62e2bd8fb8345712f15a61aaf981ec1
# reformat_partition: /dev/murphytest02-vg/smalltest
# data_gen:           random
# dir_depth:          2
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-21T22:04:01.679652
# commandline:   ./filesystem_limit.py --each-file-size=4096 --dir-split=2 --dir-depth=2 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest02-vg/smalltest
# testversion:   e185b7d FS test: measure disk free in parent dir
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7611744 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
  each_bytes  dir_split  dir_depth         f_num       d_f_num  d_ct_time  write_ok  write_time      df_total       df_used      df_avail            du    du_time
0x0000001000          2          2            32             1      0.000        ok       0.000  0x0005cd3800  0x00001bb800  0x0005918000  0x0000030000      0.002
0x0000001000          2          2            33             1      0.000        ok       0.000  0x0005cd3800  0x00001bd400  0x0005916400  0x0000031800      0.002
0x0000001000          2          2            34             1      0.000        ok       0.000  0x0005cd3800  0x00001bf000  0x0005914800  0x0000033000      0.002
0x0000001000          2          2            35             1      0.000        ok       0.000  0x0005cd3800  0x00001c0c00  0x0005912c00  0x0000034800      0.002
0x0000001000          2          2            36             1      0.000        ok       0.000  0x0005cd3800  0x00001c2800  0x0005911000  0x0000036000      0.002
0x0000001000          2          2            37             1      0.000        ok       0.000  0x0005cd3800  0x00001c4400  0x000590f400  0x0000037800      0.002
0x0000001000          2          2            38             1      0.000        ok       0.000  0x0005cd3800  0x00001c6000  0x000590d800  0x0000039000      0.002
0x0000001000          2          2            39             1      0.000        ok       0.000  0x0005cd3800  0x00001c7c00  0x000590bc00  0x000003a800      0.002
0x0000001000          2          2            40             1      0.000        ok       0.000  0x0005cd3800  0x00001c9800  0x000590a000  0x000003c000      0.002
0x0000001000          2          2            41             1      0.000        ok       0.000  0x0005cd3800  0x00001cb400  0x0005908400  0x000003d800      0.002
0x0000001000          2          2            42             1      0.000        ok       0.000  0x0005cd3800  0x00001cd000  0x0005906800  0x000003f000      0.002
0x0000001000          2          2            43             1      0.000        ok       0.000  0x0005cd3800  0x00001ce800  0x0005905000  0x0000040400      0.002
0x0000001000          2          2            44             1      0.000        ok       0.000  0x0005cd3800  0x00001d0000  0x0005903800  0x0000041800      0.002
0x0000001000          2          2            45             1      0.000        ok       0.000  0x0005cd3800  0x00001d1c00  0x0005901c00  0x0000043000      0.002
0x0000001000          2          2            46             1      0.000        ok       0.000  0x0005cd3800  0x00001d3400  0x0005900400  0x0000044400      0.002
0x0000001000          2          2            47             1      0.000        ok       0.000  0x0005cd3800  0x00001d4c00  0x00058fec00  0x0000045800      0.002
0x0000001000          2          2            48             1      0.000        ok       0.000  0x0005cd3800  0x00001d6800  0x00058fd000  0x0000047000      0.002
0x0000001000          2          2            49             1      0.000        ok       0.000  0x0005cd3800  0x00001d8000  0x00058fb800  0x0000048400      0.002
0x0000001000          2          2            50             1      0.000        ok       0.000  0x0005cd3800  0x00001d9800  0x00058fa000  0x0000049800      0.002
0x0000001000          2          2            51             1      0.000        ok       0.000  0x0005cd3800  0x00001db400  0x00058f8400  0x000004b000      0.002
0x0000001000          2          2            52             1      0.000        ok       0.000  0x0005cd3800  0x00001dcc00  0x00058f6c00  0x000004c400      0.002
0x0000001000          2          2            53             1      0.000        ok       0.000  0x0005cd3800  0x00001de800  0x00058f5000  0x000004dc00      0.002
0x0000001000          2          2            54             1      0.000        ok       0.000  0x0005cd3800  0x00001e0400  0x00058f3400  0x000004f400      0.002
0x0000001000          2          2            55             1      0.000        ok       0.000  0x0005cd3800  0x00001e2000  0x00058f1800  0x0000050c00      0.002
0x0000001000          2          2            56             1      0.000        ok       0.000  0x0005cd3800  0x00001e3c00  0x00058efc00  0x0000052400      0.002
0x0000001000          2          2            57             1      0.000        ok       0.000  0x0005cd3800  0x00001e5800  0x00058ee000  0x0000053c00      0.002
0x0000001000          2          2            58             1      0.000        ok       0.000  0x0005cd3800  0x00001e7400  0x00058ec400  0x0000055400      0.002
0x0000001000          2          2            59             1      0.000        ok       0.000  0x0005cd3800  0x00001e9000  0x00058ea800  0x0000056c00      0.003
0x0000001000          2          2            60             1      0.000        ok       0.000  0x0005cd3800  0x00001eac00  0x00058e8c00  0x0000058400      0.002
0x0000001000          2          2            61             1      0.000        ok       0.000  0x0005cd3800  0x00001ec800  0x00058e7000  0x0000059c00      0.003
0x0000001000          2          2            62             1      0.000        ok       0.000  0x0005cd3800  0x00001ee400  0x00058e5400  0x000005b400      0.003
0x0000001000          2          2            63             1      0.000        ok       0.000  0x0005cd3800  0x00001f0000  0x00058e3800  0x000005cc00      0.003
0x0000001000          2          2            64             1      0.000        ok       0.000  0x0005cd3800  0x00001f1c00  0x00058e1c00  0x000005e400      0.003
0x0000001000          2          2            65             1      0.000        ok       0.000  0x0005cd3800  0x00001f3800  0x00058e0000  0x000005fc00      0.003
