# Committing increasingly large files
# 
# reformat_partition: /dev/murphytest01-vg/test
# vcs:                prototype
# timeout:            19800.0
# vcs_version:        prototype: git version f464604 Tuning: Use 2x1 object dir structure
# data_gen:           random
# 
# date:          2017-04-20T22:36:32.683326
# commandline:   ./increasing_file_size.py prototype 0 38 --mag-step=2 --data-gen=random --timeout=19800 --tmp=/test --reformat-partition /dev/murphytest01-vg/test
# testversion:   7146442 Leave timeout info as comment in output
# hostname:      murphytest01
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7725260 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                         Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest01--vg-test  197G   60M  197G   1% /test
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
mag     filebytes  filesize   cre_time    c1_time       c1_size   c1_cmd    c1_ver   c1_repo     c1_user     c1_nice   c1_system     c1_idle   c1_iowait    c2_time       c2_size   c2_cmd    c2_ver   c2_repo     c2_user     c2_nice   c2_system     c2_idle   c2_iowait    gc_time       gc_size   gc_cmd   gc_repo     gc_user     gc_nice   gc_system     gc_idle   gc_iowait
 15  0x0000008000   32.0KiB      0.002      0.201  0x000001f000       ok  verified   assumed           0           0           0          40           0      0.201  0x000002c000       ok  verified   assumed           0           0           1          40           0      0.000  0x000002c000       ok   assumed           0           0           1           0           0
 15  0x000000c000   48.0KiB      0.005      0.202  0x000002a000       ok  verified   assumed           1           0           1          40           0      0.201  0x000003b000       ok  verified   assumed           0           0           0          39           0      0.000  0x000003b000       ok   assumed           1           0           0           0           0
 16  0x0000010000   64.0KiB      0.007      0.201  0x0000033000       ok  verified   assumed           1           0           0          36           2      0.101  0x000003e000       ok  verified   assumed           3           0           1          16           1      0.000  0x000003e000       ok   assumed           0           0           0           0           0
 16  0x0000018000   96.0KiB      0.010      0.201  0x0000045000       ok  verified   assumed           0           0           1          40           0      0.201  0x0000053000       ok  verified   assumed           0           0           0          32           8      0.000  0x0000053000       ok   assumed           0           0           0           0           0
 17  0x0000020000  128.0KiB      0.014      0.202  0x0000056000       ok  verified   assumed           1           0           1          40           0      0.201  0x000006a000       ok  verified   assumed           1           0           0          39           0      0.000  0x000006a000       ok   assumed           0           0           0           0           0
 17  0x0000030000  192.0KiB      0.018      0.201  0x000007e000       ok  verified   assumed           1           0           1          39           0      0.201  0x0000091000       ok  verified   assumed           0           0           1          39           0      0.000  0x0000091000       ok   assumed           0           0           0           0           0
 18  0x0000040000  256.0KiB      0.025      0.201  0x000009e000       ok  verified   assumed           0           0           2          40           0      0.201  0x00000ad000       ok  verified   assumed           1           0           0          39           0      0.000  0x00000ad000       ok   assumed           0           0           1           0           0
 18  0x0000060000  384.0KiB      0.030      0.201  0x00000e9000       ok  verified   assumed           1           0           0          39           0      0.201  0x00000f6000       ok  verified   assumed           2           0           0          39           0      0.000  0x00000f6000       ok   assumed           0           0           0           0           0
 19  0x0000080000  512.0KiB      0.041      0.201  0x000013a000       ok  verified   assumed           1           0           2          38           0      0.201  0x000014c000       ok  verified   assumed           1           0           0          39           0      0.000  0x000014c000       ok   assumed           0           0           1           0           0
 19  0x00000c0000  768.0KiB      0.059      0.201  0x00001d7000       ok  verified   assumed           3           0           0          38           0      0.201  0x00001e5000       ok  verified   assumed           2           0           0          38           0      0.000  0x00001e5000       ok   assumed           1           0           0           0           0
